stateName	date	positiveIncrease	deathIncrease	positive	death	population	interval_start	mean_rt	std_rt	ci_lower	ci_upper
Grand Princess	2020-04-15	0	0	103	0	0	2020-04-09	0.164663835114248	0.164663835114248	0.00416892735937931	0.607425038188556
Grand Princess	2020-04-16	0	0	103	0	0	2020-04-10	0.196759568244782	0.196759568244782	0.00498152096789316	0.725822328698503
Grand Princess	2020-04-17	0	0	103	0	0	2020-04-11	0.234444733101298	0.234444733101298	0.00593562673558676	0.864838359062605
Grand Princess	2020-04-18	0	0	103	0	0	2020-04-12	0.278558599025039	0.278558599025039	0.00705249312248874	1.02756909271023
Grand Princess	2020-04-19	0	0	103	0	0	2020-04-13	0.330018155906434	0.330018155906434	0.00835533630256855	1.21739719480782
Grand Princess	2020-04-20	0	0	103	0	0	2020-04-14	0.389807801992958	0.389807801992958	0.00986907908163579	1.43795399182514
Grand Princess	2020-04-21	0	0	103	0	0	2020-04-15	0.45896096356446	0.45896096356446	0.0116198855478097	1.69305166873327
Grand Princess	2020-04-22	0	0	103	0	0	2020-04-16	0.538531655342754	0.538531655342754	0.0136344410434296	1.98657835878385
Grand Princess	2020-04-23	0	3	103	3	0	2020-04-17	0.629554174516159	0.629554174516159	0.0159389317061082	2.32234945962432
Grand Princess	2020-04-24	0	0	103	3	0	2020-04-18	0.732989716126508	0.732989716126508	0.0185576928873501	2.70391070389588
Grand Princess	2020-04-25	0	0	103	3	0	2020-04-19	0.849659846080212	0.849659846080212	0.0215115248350201	3.1342927491909
Grand Princess	2020-04-26	0	0	103	3	0	2020-04-20	0.980168567447215	0.980168567447215	0.0248157195828651	3.61572369002432
Grand Princess	2020-04-27	0	0	103	3	0	2020-04-21	1.12481714722779	1.12481714722779	0.02847790455095	4.14931486404366
Grand Princess	2020-04-28	0	0	103	3	0	2020-04-22	1.28351871807116	1.28351871807116	0.0324958804483675	4.73474582806335
Grand Princess	2020-04-29	0	0	103	3	0	2020-04-23	1.45572245404657	1.45572245404657	0.0368557015699702	5.3699846516247
Grand Princess	2020-04-30	0	0	103	3	0	2020-04-24	1.64035910412321	1.64035910412321	0.0415302968234732	6.05108699656884
Grand Princess	2020-05-01	0	0	103	3	0	2020-04-25	1.83581997458974	1.83581997458974	0.0464789376103871	6.77211858571607
Grand Princess	2020-05-02	0	0	103	3	0	2020-04-26	2.03997932719636	2.03997932719636	0.0516478048978782	7.52523782691181
Grand Princess	2020-05-03	0	0	103	3	0	2020-04-27	2.25026532034622	2.25026532034622	0.0569717852942322	8.30095750653029
Grand Princess	2020-05-04	0	0	103	3	0	2020-04-28	2.46377756457479	2.46377756457479	0.062377447295906	9.08857843746682
Grand Princess	2020-05-05	0	0	103	3	0	2020-04-29	2.67744144422679	2.67744144422679	0.0677869483741138	9.87675873320137
Grand Princess	2020-05-06	0	0	103	3	0	2020-04-30	2.88818250149791	2.88818250149791	0.0731224499965101	10.654157089507
Grand Princess	2020-05-07	0	0	103	3	0	2020-05-01	3.09310026797178	3.09310026797178	0.078310518660665	11.4100740280354
Grand Princess	2020-05-08	0	0	103	3	0	2020-05-02	3.28962110103052	3.28962110103052	0.083285995376959	12.1350156914111
Grand Princess	2020-05-09	0	0	103	3	0	2020-05-03	3.47561377395385	3.47561377395385	0.0879949221565167	12.8211202411738
Grand Princess	2020-05-10	0	0	103	3	0	2020-05-04	3.64945854621371	3.64945854621371	0.0923962907196644	13.4624126497683
Grand Princess	2020-05-11	0	0	103	3	0	2020-05-05	3.81006829376306	3.81006829376306	0.0964625774685242	14.0548826476335
Guam	2020-03-08	0	0	0	0	164229	2020-03-02	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-09	0	0	0	0	164229	2020-03-03	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-10	0	0	0	0	164229	2020-03-04	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-11	0	0	0	0	164229	2020-03-05	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-12	0	0	0	0	164229	2020-03-06	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-13	0	0	0	0	164229	2020-03-07	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-14	0	0	0	0	164229	2020-03-08	5	5	0.126589039921449	18.4443972705697
Guam	2020-03-15	0	0	0	0	164229	2020-03-09	5	5	0.126589039921449	18.4443972705697
